id,nom_estab,codigo_act,nombre_act,per_ocu,cod_postal,entidad,localidad,telefono,correoelec,www
660195,amspec internacional de mexico,541380,laboratorios de pruebas,11 a 30 personas,11560,ciudad de mexico,miguel hidalgo,0,mexico@amspecllc.com,www.amspeclic.com
966423,analysis & reserarch,541380,laboratorios de pruebas,11 a 30 personas,3500,ciudad de mexico,benito juarez,0,gestion.calidad@ayrlab.com,www.ayrlab.com
7837944,analytech soporte tecnico,541380,laboratorios de pruebas,6 a 10 personas,8200,ciudad de mexico,iztacalco,0,mercadotecnia2@analytech.com.mx,0
738152,ance,541380,laboratorios de pruebas,101 a 250 personas,7700,ciudad de mexico,gustavo a. madero,0,byanca.rivera@ance.org.mx,0
653852,asesoria en tratamiento de aguas,541380,laboratorios de pruebas,11 a 30 personas,2700,ciudad de mexico,azcapotzalco,5555614546,0,0
804647,biodextra,541380,laboratorios de pruebas,11 a 30 personas,9360,ciudad de mexico,iztapalapa,5556857373,0,www.biodextra.com
941159,bionalit laboratorios,541380,laboratorios de pruebas,11 a 30 personas,16050,ciudad de mexico,xochimilco,5556759842,manuel_calderon@bionalit.com.mx,www.bionalit.com.mx
631656,bufete quimico,541380,laboratorios de pruebas,6 a 10 personas,6400,ciudad de mexico,cuauhtemoc,0,0,0
6318539,cauda,541380,laboratorios de pruebas,6 a 10 personas,1280,ciudad de mexico,alvaro obregon,0,contabilidad@grupocauda.mx,www.grupocauda.mx
789217,centro de capacitacion para trabajadores de llog,541380,laboratorios de pruebas,51 a 100 personas,7000,ciudad de mexico,gustavo a. madero,0,0,0
752456,certificacion mexicana sc,541380,laboratorios de pruebas,251 y mas personas,15900,ciudad de mexico,venustiano carranza,0,avargas@cmx.org.mx,www.cmx.org.mx
8780230,compra venta de productos de uso agricola,541380,laboratorios de pruebas,6 a 10 personas,11700,ciudad de mexico,miguel hidalgo,0,0,0
6750563,consejo mexicano de certificacion,541380,laboratorios de pruebas,11 a 30 personas,6400,ciudad de mexico,cuauhtemoc,0,0,0
6317813,control quimico novamann internacional,541380,laboratorios de pruebas,11 a 30 personas,8220,ciudad de mexico,iztacalco,0,0,0
7767999,empresa,541380,laboratorios de pruebas,6 a 10 personas,7770,ciudad de mexico,gustavo a. madero,55300000000,ricardo.gutierrez@metrologiaintegral.com.mx,0
893523,estudios de mecanica de suelos,541380,laboratorios de pruebas,0 a 5 personas,6400,ciudad de mexico,cuauhtemoc,0,0,0
675965,"estudios, diseños y laboratorio",541380,laboratorios de pruebas,11 a 30 personas,7380,ciudad de mexico,gustavo a. madero,5555672919,laboratorio.edyl@gmail.com,0
