_id,id,genero,edad,ocup,cp,len_cp
ObjectId("5e4822a82a018d12ac774fa3"),161,M,45,16,98107-2117,10
ObjectId("5e4822a82a018d12ac774feb"),233,F,45,20,37919-4204,10
ObjectId("5e4822a82a018d12ac775027"),293,M,56,1,55337-4056,10
ObjectId("5e4822a82a018d12ac7750cc"),458,M,50,16,55405-2546,10
ObjectId("5e4822a82a018d12ac7750fc"),506,M,25,16,55103-1006,10
ObjectId("5e4822a82a018d12ac775139"),567,M,35,20,52570-9634,10
ObjectId("5e4822a82a018d12ac775266"),868,M,50,17,01702-7224,10
ObjectId("5e4822a82a018d12ac775293"),913,M,25,0,20744-6223,10
ObjectId("5e4822a82a018d12ac7752ad"),939,F,25,20,20110-5616,10
ObjectId("5e4822a82a018d12ac7752b4"),946,M,35,7,48103-8929,10
ObjectId("5e4822a82a018d12ac775318"),1046,M,56,18,53404-1230,10
ObjectId("5e4822a82a018d12ac77533b"),1081,M,18,4,68144-2410,10
ObjectId("5e4822a82a018d12ac775375"),1139,M,25,1,93420-2852,10
ObjectId("5e4822a82a018d12ac7753b3"),1201,M,18,4,84112-2004,10
ObjectId("5e4822a82a018d12ac7754b9"),1463,M,50,16,92612-3417,10
ObjectId("5e4822a82a018d12ac775507"),1541,M,56,17,23464-3016,10
ObjectId("5e4822a82a018d12ac77552b"),1577,M,56,0,72227-5733,10
ObjectId("5e4822a82a018d12ac77553d"),1595,M,35,1,92683-1892,10
ObjectId("5e4822a82a018d12ac77558b"),1673,M,1,10,98043-3621,10
ObjectId("5e4822a82a018d12ac7755c2"),1728,M,18,4,11710-1641,10
ObjectId("5e4822a82a018d12ac7755e0"),1758,F,25,0,33067-1400,10
ObjectId("5e4822a82a018d12ac7756d4"),2002,F,56,13,02136-1522,10
ObjectId("5e4822a82a018d12ac775729"),2087,M,25,0,37923-3112,10
ObjectId("5e4822a82a018d12ac775786"),2180,M,25,12,27713-9225,10
ObjectId("5e4822a82a018d12ac7757a4"),2210,M,45,17,88005-4313,10
ObjectId("5e4822a82a018d12ac7757ae"),2220,F,50,3,95451-9554,10
ObjectId("5e4822a82a018d12ac77580b"),2313,F,50,6,48103-4711,10
ObjectId("5e4822a82a018d12ac77591b"),2585,M,45,15,64081-8102,10
ObjectId("5e4822a82a018d12ac775922"),2592,M,50,7,80004-4448,10
ObjectId("5e4822a82a018d12ac7759bc"),2746,M,50,14,50265-2850,10
ObjectId("5e4822a82a018d12ac775b5c"),3162,M,25,1,08854-3115,10
ObjectId("5e4822a82a018d12ac775bd9"),3287,M,56,13,27514-3540,10
ObjectId("5e4822a82a018d12ac775bee"),3308,F,18,20,15701-1348,10
ObjectId("5e4822a82a018d12ac775c02"),3328,M,56,19,91790-1161,10
ObjectId("5e4822a82a018d12ac775c07"),3333,M,18,16,29404-2205,10
ObjectId("5e4822a82a018d12ac775cc8"),3526,M,35,2,62263-3004,10
ObjectId("5e4822a92a018d12ac775d9c"),3738,M,45,7,01904-1355,10
ObjectId("5e4822a92a018d12ac775e0a"),3848,M,25,15,70809-2612,10
ObjectId("5e4822a92a018d12ac775e64"),3938,M,25,2,92711-0571,10
ObjectId("5e4822a92a018d12ac775e76"),3956,M,25,0,94930-2010,10
ObjectId("5e4822a92a018d12ac775eae"),4012,M,18,4,49503-1313,10
ObjectId("5e4822a92a018d12ac775eb0"),4014,M,25,0,48316-5601,10
ObjectId("5e4822a92a018d12ac775ec8"),4038,M,50,6,11510-2001,10
ObjectId("5e4822a92a018d12ac775f1e"),4124,M,25,18,62330-1408,10
ObjectId("5e4822a92a018d12ac775f85"),4227,M,25,19,11414-2520,10
ObjectId("5e4822a92a018d12ac77606c"),4458,F,25,4,15701-2017,10
ObjectId("5e4822a92a018d12ac77608e"),4492,M,56,13,45322-3132,10
ObjectId("5e4822a92a018d12ac776175"),4723,M,35,7,90014-1718,10
ObjectId("5e4822a92a018d12ac776177"),4725,M,35,5,96707-1321,10
ObjectId("5e4822a92a018d12ac77618c"),4746,M,50,1,19087-3622,10
ObjectId("5e4822a92a018d12ac7761ca"),4808,M,35,0,96707-1321,10
ObjectId("5e4822a92a018d12ac776267"),4965,M,1,10,63123-1507,10
ObjectId("5e4822a92a018d12ac7762c6"),5060,M,45,17,84109-2001,10
ObjectId("5e4822a92a018d12ac77631b"),5145,M,35,7,77565-2332,10
ObjectId("5e4822a92a018d12ac7763c1"),5311,M,50,0,62025-8000,10
ObjectId("5e4822a92a018d12ac7763db"),5337,F,35,3,02725-1010,10
ObjectId("5e4822a92a018d12ac776422"),5408,M,25,20,11230-1710,10
ObjectId("5e4822a92a018d12ac776460"),5470,M,56,7,20003-2712,10
ObjectId("5e4822a92a018d12ac776463"),5473,M,25,1,20120-6354,10
ObjectId("5e4822a92a018d12ac776482"),5504,M,45,7,85287-2702,10
ObjectId("5e4822a92a018d12ac7764e2"),5600,F,45,0,12833-2000,10
ObjectId("5e4822a92a018d12ac776523"),5665,M,18,4,10461-1301,10
ObjectId("5e4822a92a018d12ac776534"),5682,M,18,0,23455-4959,10
ObjectId("5e4822a92a018d12ac776627"),5925,F,25,0,90035-4444,10
ObjectId("5e4822a92a018d12ac776651"),5967,M,50,16,73069-5429,10
ObjectId("5e4822a92a018d12ac776663"),5985,F,18,4,78705-5221,10
ObjectId("5e4822a92a018d12ac7762ee"),5100,M,50,6,193122042,9
ObjectId("5e4822a82a018d12ac77511f"),541,F,18,4,5849574,7
ObjectId("5e4822a82a018d12ac7753ed"),1259,M,35,7,2020010,7
ObjectId("5e4822a92a018d12ac7760bc"),4538,M,25,12,0956456,7
ObjectId("5e4822a82a018d12ac775345"),1091,M,18,5,345567,6
ObjectId("5e4822a82a018d12ac77549c"),1434,F,1,10,495321,6
ObjectId("5e4822a82a018d12ac77573c"),2106,F,18,20,495321,6
ObjectId("5e4822a82a018d12ac775a27"),2853,M,1,1,444555,6
ObjectId("5e4822a82a018d12ac775c1d"),3355,M,25,1,400060,6
ObjectId("5e4822a92a018d12ac775e43"),3905,M,25,17,361069,6
ObjectId("5e4822a92a018d12ac776068"),4454,M,25,20,111225,6
ObjectId("5e4822a92a018d12ac776233"),4913,F,25,1,970025,6
ObjectId("5e4822a92a018d12ac77626f"),4973,F,56,2,949702,6
ObjectId("5e4822a92a018d12ac776488"),5510,M,18,4,191004,6
ObjectId("5e4822a92a018d12ac776612"),5904,F,45,12,954025,6
ObjectId("5e4822a82a018d12ac774f03"),1,F,1,10,48067,5
ObjectId("5e4822a82a018d12ac774f04"),2,M,56,16,70072,5
ObjectId("5e4822a82a018d12ac774f05"),3,M,25,15,55117,5
ObjectId("5e4822a82a018d12ac774f06"),4,M,45,7,02460,5
ObjectId("5e4822a82a018d12ac774f07"),5,M,25,20,55455,5
ObjectId("5e4822a82a018d12ac774f08"),6,F,50,9,55117,5
ObjectId("5e4822a82a018d12ac774f09"),7,M,35,1,06810,5
ObjectId("5e4822a82a018d12ac774f0a"),8,M,25,12,11413,5
ObjectId("5e4822a82a018d12ac774f0b"),9,M,25,17,61614,5
ObjectId("5e4822a82a018d12ac774f0c"),10,F,35,1,95370,5
ObjectId("5e4822a82a018d12ac774f0d"),11,F,25,1,04093,5
ObjectId("5e4822a82a018d12ac774f0e"),12,M,25,12,32793,5
ObjectId("5e4822a82a018d12ac774f0f"),13,M,45,1,93304,5
ObjectId("5e4822a82a018d12ac774f10"),14,M,35,0,60126,5
ObjectId("5e4822a82a018d12ac774f11"),15,M,25,7,22903,5
