fecha_in,tc_in,fecha_bx,tc_bx
02/01/1992,3.0750,02/01/1992,3.0753
03/01/1992,3.0700,03/01/1992,3.0744
06/01/1992,3.0700,06/01/1992,3.0695
07/01/1992,3.0700,07/01/1992,3.0665
08/01/1992,3.0700,08/01/1992,3.0663
09/01/1992,3.0700,09/01/1992,3.0662
10/01/1992,3.0700,10/01/1992,3.0668
13/01/1992,3.0650,13/01/1992,3.0661
14/01/1992,3.0600,14/01/1992,3.0642
15/01/1992,3.0650,15/01/1992,3.0646
16/01/1992,3.0600,16/01/1992,3.0679
17/01/1992,3.0600,17/01/1992,3.0657
20/01/1992,3.0600,20/01/1992,3.0631
21/01/1992,3.0600,21/01/1992,3.0625
22/01/1992,3.0600,22/01/1992,3.0617
23/01/1992,3.0600,23/01/1992,3.0736
24/01/1992,3.0800,24/01/1992,3.0791
27/01/1992,3.0700,27/01/1992,3.0687
28/01/1992,3.0600,28/01/1992,3.0659
29/01/1992,3.0600,29/01/1992,3.0660
30/01/1992,3.0700,30/01/1992,3.0685
31/01/1992,3.0650,31/01/1992,3.0673
03/02/1992,3.0600,03/02/1992,3.0656
04/02/1992,3.0600,04/02/1992,3.0645
06/02/1992,3.0600,06/02/1992,3.0648
07/02/1992,3.0600,07/02/1992,3.0645
10/02/1992,3.0600,10/02/1992,3.0674
11/02/1992,3.0600,11/02/1992,3.0644
12/02/1992,3.0600,12/02/1992,3.0633
13/02/1992,3.0600,13/02/1992,3.0640
14/02/1992,3.0600,14/02/1992,3.0634
17/02/1992,3.0600,17/02/1992,3.0621
18/02/1992,3.0600,18/02/1992,3.0618
19/02/1992,3.0600,19/02/1992,3.0608
20/02/1992,3.0600,20/02/1992,3.0621
21/02/1992,3.0600,21/02/1992,3.0610
24/02/1992,3.0600,24/02/1992,3.0621
25/02/1992,3.0600,25/02/1992,3.0609
26/02/1992,3.0600,26/02/1992,3.0608
27/02/1992,3.0600,27/02/1992,3.0608
28/02/1992,3.0600,28/02/1992,3.0609
02/03/1992,3.0600,02/03/1992,3.0611
03/03/1992,3.0600,03/03/1992,3.0625
04/03/1992,3.0600,04/03/1992,3.0606
05/03/1992,3.0600,05/03/1992,3.0609
06/03/1992,3.0600,06/03/1992,3.0608
09/03/1992,3.0600,09/03/1992,3.0612
10/03/1992,3.0600,10/03/1992,3.0612
11/03/1992,3.0600,11/03/1992,3.0608
12/03/1992,3.0600,12/03/1992,3.0610
13/03/1992,3.0600,13/03/1992,3.0622
16/03/1992,3.0600,16/03/1992,3.0609
17/03/1992,3.0600,17/03/1992,3.0618
18/03/1992,3.0700,18/03/1992,3.0679
19/03/1992,3.0750,19/03/1992,3.0738
20/03/1992,3.0700,20/03/1992,3.0688
23/03/1992,3.0700,23/03/1992,3.0693
24/03/1992,3.0750,24/03/1992,3.0706
25/03/1992,3.0800,25/03/1992,3.0795
26/03/1992,3.0900,26/03/1992,3.0902
27/03/1992,3.0900,27/03/1992,3.0835
30/03/1992,3.0700,30/03/1992,3.0683
31/03/1992,3.0600,31/03/1992,3.0620
01/04/1992,3.0600,01/04/1992,3.0609
02/04/1992,3.0600,02/04/1992,3.0609
03/04/1992,3.0600,03/04/1992,3.0609
06/04/1992,3.0600,06/04/1992,3.0609
07/04/1992,3.0600,07/04/1992,3.0608
08/04/1992,3.0700,08/04/1992,3.0656
09/04/1992,3.0700,09/04/1992,3.0695
10/04/1992,3.0700,10/04/1992,3.0657
13/04/1992,3.0600,13/04/1992,3.0625
14/04/1992,3.0650,14/04/1992,3.0650
15/04/1992,3.0700,15/04/1992,3.0670
20/04/1992,3.0600,20/04/1992,3.0636
21/04/1992,3.0700,21/04/1992,3.0671
22/04/1992,3.0750,22/04/1992,3.0828
23/04/1992,3.0800,23/04/1992,3.0856
24/04/1992,3.0750,24/04/1992,3.0758
27/04/1992,3.0800,27/04/1992,3.0765
28/04/1992,3.0800,28/04/1992,3.0790
29/04/1992,3.0800,29/04/1992,3.0794
30/04/1992,3.0800,30/04/1992,3.0786
04/05/1992,3.0800,04/05/1992,3.0816
06/05/1992,3.0900,06/05/1992,3.0885
07/05/1992,3.1000,07/05/1992,3.1000
08/05/1992,3.1100,08/05/1992,3.1108
11/05/1992,3.1000,11/05/1992,3.0968
12/05/1992,3.0900,12/05/1992,3.0863
13/05/1992,3.1000,13/05/1992,3.0885
14/05/1992,3.1000,14/05/1992,3.1094
15/05/1992,3.1000,15/05/1992,3.1039
18/05/1992,3.0950,18/05/1992,3.0974
19/05/1992,3.1000,19/05/1992,3.1024
20/05/1992,3.1000,20/05/1992,3.1050
21/05/1992,3.1050,21/05/1992,3.1056
22/05/1992,3.1050,22/05/1992,3.1030
25/05/1992,3.1000,25/05/1992,3.1026
26/05/1992,3.1050,26/05/1992,3.1079
27/05/1992,3.1150,27/05/1992,3.1134
28/05/1992,3.1200,28/05/1992,3.1168
29/05/1992,3.1150,29/05/1992,3.1150
01/06/1992,3.1100,01/06/1992,3.1106
02/06/1992,3.1150,02/06/1992,3.1176
03/06/1992,3.1200,03/06/1992,3.1185
04/06/1992,3.1200,04/06/1992,3.1179
05/06/1992,3.1150,05/06/1992,3.1131
08/06/1992,3.1150,08/06/1992,3.1146
09/06/1992,3.1200,09/06/1992,3.1176
10/06/1992,3.1200,10/06/1992,3.1169
11/06/1992,3.1200,11/06/1992,3.1191
12/06/1992,3.1200,12/06/1992,3.1191
15/06/1992,3.1200,15/06/1992,3.1193
16/06/1992,3.1200,16/06/1992,3.1210
17/06/1992,3.1200,17/06/1992,3.1220
18/06/1992,3.1200,18/06/1992,3.1203
19/06/1992,3.1200,19/06/1992,3.1168
22/06/1992,3.1200,22/06/1992,3.1216
23/06/1992,3.1200,23/06/1992,3.1222
24/06/1992,3.1200,24/06/1992,3.1225
25/06/1992,3.1200,25/06/1992,3.1225
26/06/1992,3.1200,26/06/1992,3.1225
29/06/1992,3.1200,29/06/1992,3.1229
30/06/1992,3.1200,30/06/1992,3.1230
01/07/1992,3.1200,01/07/1992,3.1224
02/07/1992,3.1200,02/07/1992,3.1204
03/07/1992,3.1200,03/07/1992,3.1179
06/07/1992,3.1200,06/07/1992,3.1183
07/07/1992,3.1200,07/07/1992,3.1166
08/07/1992,3.1150,08/07/1992,3.1170
09/07/1992,3.1050,09/07/1992,3.1099
10/07/1992,3.1200,10/07/1992,3.1180
13/07/1992,3.1200,13/07/1992,3.1156
14/07/1992,3.1200,14/07/1992,3.1174
15/07/1992,3.1200,15/07/1992,3.1184
16/07/1992,3.1200,16/07/1992,3.1175
17/07/1992,3.1150,17/07/1992,3.1149
20/07/1992,3.1200,20/07/1992,3.1166
21/07/1992,3.1150,21/07/1992,3.1156
22/07/1992,3.1100,22/07/1992,3.1125
23/07/1992,3.1100,23/07/1992,3.1113
24/07/1992,3.1100,24/07/1992,3.1100
27/07/1992,3.1150,27/07/1992,3.1139
28/07/1992,3.1150,28/07/1992,3.1161
29/07/1992,3.1150,29/07/1992,3.1141
30/07/1992,3.1100,30/07/1992,3.1113
31/07/1992,3.1100,31/07/1992,3.1124
03/08/1992,3.1100,03/08/1992,3.1094
04/08/1992,3.1100,04/08/1992,3.1071
05/08/1992,3.1050,05/08/1992,3.1084
06/08/1992,3.1000,06/08/1992,3.1021
07/08/1992,3.1000,07/08/1992,3.1020
10/08/1992,3.1000,10/08/1992,3.0984
11/08/1992,3.0900,11/08/1992,3.0881
12/08/1992,3.0750,12/08/1992,3.0759
13/08/1992,3.0700,13/08/1992,3.0733
14/08/1992,3.0800,14/08/1992,3.0768
17/08/1992,3.0900,17/08/1992,3.0869
18/08/1992,3.0850,18/08/1992,3.0876
19/08/1992,3.0800,19/08/1992,3.0853
20/08/1992,3.0800,20/08/1992,3.0814
21/08/1992,3.0850,21/08/1992,3.0836
24/08/1992,3.0800,24/08/1992,3.0855
25/08/1992,3.0800,25/08/1992,3.0810
26/08/1992,3.0800,26/08/1992,3.0789
27/08/1992,3.0800,27/08/1992,3.0810
28/08/1992,3.0800,28/08/1992,3.0810
31/08/1992,3.0800,31/08/1992,3.0765
01/09/1992,3.0700,01/09/1992,3.0715
02/09/1992,3.0700,02/09/1992,3.0694
03/09/1992,3.0650,03/09/1992,3.0699
04/09/1992,3.0650,04/09/1992,3.0681
07/09/1992,3.0600,07/09/1992,3.0638
