id,Port Name,State,Port Code,Border,Date,Measure,Value
1,Trout River,New York,715,US-Canada Border,2018/01/01,Truck Containers Full,571
2,Portal,North Dakota,3403,US-Canada Border,2018/01/01,Rail Containers Empty,7484
3,Roseau,Minnesota,3426,US-Canada Border,2018/01/01,Trucks,285
4,Norton,Vermont,211,US-Canada Border,2018/01/01,Trucks,921
5,Oroville,Washington,3019,US-Canada Border,2018/01/01,Pedestrians,29
6,Lynden,Washington,3023,US-Canada Border,2018/01/01,Truck Containers Full,430
7,International Falls-Ranier,Minnesota,3604,US-Canada Border,2018/01/01,Personal Vehicle Passengers,40803
8,International Falls-Ranier,Minnesota,3604,US-Canada Border,2018/01/01,Train Passengers,626
9,Algonac,Michigan,3814,US-Canada Border,2018/01/01,Personal Vehicles,89
10,Westhope,North Dakota,3419,US-Canada Border,2018/01/01,Truck Containers Empty,198
11,Sault Sainte Marie,Michigan,3803,US-Canada Border,2018/01/01,Personal Vehicles,47026
12,Vanceboro,Maine,105,US-Canada Border,2018/01/01,Pedestrians,6
13,Fortuna,North Dakota,3417,US-Canada Border,2018/01/01,Trucks,244
14,Pembina,North Dakota,3401,US-Canada Border,2018/01/01,Trains,86
15,Sault Sainte Marie,Michigan,3803,US-Canada Border,2018/01/01,Trucks,3492
16,Porthill,Idaho,3308,US-Canada Border,2018/01/01,Personal Vehicle Passengers,14725
17,Warroad,Minnesota,3423,US-Canada Border,2018/01/01,Trucks,735
18,Limestone,Maine,118,US-Canada Border,2018/01/01,Personal Vehicle Passengers,1609
19,Roseau,Minnesota,3426,US-Canada Border,2018/01/01,Personal Vehicles,2896
20,Lancaster,Minnesota,3430,US-Canada Border,2018/01/01,Trucks,369
21,Champlain-Rouses Point,New York,712,US-Canada Border,2018/01/01,Personal Vehicle Passengers,118997
22,Massena,New York,704,US-Canada Border,2018/01/01,Bus Passengers,2611
23,Roma,Texas,2310,US-Mexico Border,2018/01/01,Truck Containers Full,50
24,Wildhorse,Montana,3323,US-Canada Border,2018/01/01,Personal Vehicle Passengers,1113
25,Ferry,Washington,3013,US-Canada Border,2018/01/01,Truck Containers Empty,5
26,Friday Harbor,Washington,3014,US-Canada Border,2018/01/01,Personal Vehicles,67
27,Carbury,North Dakota,3421,US-Canada Border,2018/01/01,Personal Vehicle Passengers,2404
28,Douglas,Arizona,2601,US-Mexico Border,2018/01/01,Pedestrians,80456
29,Derby Line,Vermont,209,US-Canada Border,2018/01/01,Buses,77
30,Richford,Vermont,203,US-Canada Border,2018/01/01,Personal Vehicles,6164
31,San Ysidro,California,2504,US-Mexico Border,2018/01/01,Personal Vehicle Passengers,2065547
32,Sweetgrass,Montana,3310,US-Canada Border,2018/01/01,Truck Containers Empty,1827
33,Laurier,Washington,3016,US-Canada Border,2018/01/01,Rail Containers Empty,40
34,Port Huron,Michigan,3802,US-Canada Border,2018/01/01,Trains,253
35,Laredo,Texas,2304,US-Mexico Border,2018/01/01,Buses,3127
36,Roosville,Montana,3318,US-Canada Border,2018/01/01,Truck Containers Full,432
37,Calexico East,California,2507,US-Mexico Border,2018/01/01,Truck Containers Empty,14278
38,Opheim,Montana,3317,US-Canada Border,2018/01/01,Trucks,13
39,Laurier,Washington,3016,US-Canada Border,2018/01/01,Trucks,663
40,Highgate Springs-Alburg,Vermont,212,US-Canada Border,2018/01/01,Trains,25
41,Portal,North Dakota,3403,US-Canada Border,2018/01/01,Trains,163
42,Roma,Texas,2310,US-Mexico Border,2018/01/01,Truck Containers Empty,560
43,Houlton,Maine,106,US-Canada Border,2018/01/01,Trucks,7644
44,Boundary,Washington,3015,US-Canada Border,2018/01/01,Bus Passengers,24
45,Sumas,Washington,3009,US-Canada Border,2018/01/01,Truck Containers Full,9522
46,Fortuna,North Dakota,3417,US-Canada Border,2018/01/01,Personal Vehicles,653
47,Lynden,Washington,3023,US-Canada Border,2018/01/01,Truck Containers Empty,2953
48,Calexico East,California,2507,US-Mexico Border,2018/01/01,Truck Containers Full,18764
49,Eagle Pass,Texas,2303,US-Mexico Border,2018/01/01,Trucks,14977
50,Vanceboro,Maine,105,US-Canada Border,2018/01/01,Truck Containers Empty,50
51,Buffalo-Niagara Falls,New York,901,US-Canada Border,2018/01/01,Trains,173
52,Detroit,Michigan,3801,US-Canada Border,2018/01/01,Trains,156
53,Highgate Springs-Alburg,Vermont,212,US-Canada Border,2018/01/01,Personal Vehicle Passengers,50484
54,Turner,Montana,3306,US-Canada Border,2018/01/01,Pedestrians,2
55,Norton,Vermont,211,US-Canada Border,2018/01/01,Personal Vehicle Passengers,1831
56,Houlton,Maine,106,US-Canada Border,2018/01/01,Bus Passengers,334
