fecha,tc
02/01/1992,3.0750
03/01/1992,3.0700
06/01/1992,3.0700
07/01/1992,3.0700
08/01/1992,3.0700
09/01/1992,3.0700
10/01/1992,3.0700
13/01/1992,3.0650
14/01/1992,3.0600
15/01/1992,3.0650
16/01/1992,3.0600
17/01/1992,3.0600
20/01/1992,3.0600
21/01/1992,3.0600
22/01/1992,3.0600
23/01/1992,3.0600
24/01/1992,3.0800
27/01/1992,3.0700
28/01/1992,3.0600
29/01/1992,3.0600
30/01/1992,3.0700
31/01/1992,3.0650
03/02/1992,3.0600
04/02/1992,3.0600
06/02/1992,3.0600
07/02/1992,3.0600
10/02/1992,3.0600
11/02/1992,3.0600
12/02/1992,3.0600
13/02/1992,3.0600
14/02/1992,3.0600
17/02/1992,3.0600
18/02/1992,3.0600
19/02/1992,3.0600
20/02/1992,3.0600
21/02/1992,3.0600
24/02/1992,3.0600
25/02/1992,3.0600
26/02/1992,3.0600
27/02/1992,3.0600
28/02/1992,3.0600
02/03/1992,3.0600
03/03/1992,3.0600
04/03/1992,3.0600
05/03/1992,3.0600
06/03/1992,3.0600
09/03/1992,3.0600
10/03/1992,3.0600
11/03/1992,3.0600
12/03/1992,3.0600
13/03/1992,3.0600
16/03/1992,3.0600
17/03/1992,3.0600
18/03/1992,3.0700
19/03/1992,3.0750
20/03/1992,3.0700
23/03/1992,3.0700
24/03/1992,3.0750
25/03/1992,3.0800
26/03/1992,3.0900
27/03/1992,3.0900
30/03/1992,3.0700
31/03/1992,3.0600
01/04/1992,3.0600
02/04/1992,3.0600
03/04/1992,3.0600
06/04/1992,3.0600
07/04/1992,3.0600
08/04/1992,3.0700
09/04/1992,3.0700
10/04/1992,3.0700
13/04/1992,3.0600
14/04/1992,3.0650
15/04/1992,3.0700
20/04/1992,3.0600
21/04/1992,3.0700
22/04/1992,3.0750
23/04/1992,3.0800
24/04/1992,3.0750
27/04/1992,3.0800
28/04/1992,3.0800
29/04/1992,3.0800
30/04/1992,3.0800
04/05/1992,3.0800
06/05/1992,3.0900
07/05/1992,3.1000
08/05/1992,3.1100
11/05/1992,3.1000
12/05/1992,3.0900
13/05/1992,3.1000
14/05/1992,3.1000
15/05/1992,3.1000
18/05/1992,3.0950
19/05/1992,3.1000
20/05/1992,3.1000
21/05/1992,3.1050
22/05/1992,3.1050
25/05/1992,3.1000
26/05/1992,3.1050
27/05/1992,3.1150
28/05/1992,3.1200
29/05/1992,3.1150
01/06/1992,3.1100
02/06/1992,3.1150
03/06/1992,3.1200
04/06/1992,3.1200
05/06/1992,3.1150
08/06/1992,3.1150
09/06/1992,3.1200
10/06/1992,3.1200
11/06/1992,3.1200
12/06/1992,3.1200
15/06/1992,3.1200
16/06/1992,3.1200
17/06/1992,3.1200
18/06/1992,3.1200
19/06/1992,3.1200
22/06/1992,3.1200
23/06/1992,3.1200
24/06/1992,3.1200
25/06/1992,3.1200
26/06/1992,3.1200
29/06/1992,3.1200
30/06/1992,3.1200
01/07/1992,3.1200
02/07/1992,3.1200
03/07/1992,3.1200
06/07/1992,3.1200
07/07/1992,3.1200
08/07/1992,3.1150
09/07/1992,3.1050
10/07/1992,3.1200
13/07/1992,3.1200
14/07/1992,3.1200
15/07/1992,3.1200
16/07/1992,3.1200
17/07/1992,3.1150
20/07/1992,3.1200
21/07/1992,3.1150
22/07/1992,3.1100
23/07/1992,3.1100
24/07/1992,3.1100
27/07/1992,3.1150
28/07/1992,3.1150
29/07/1992,3.1150
30/07/1992,3.1100
31/07/1992,3.1100
03/08/1992,3.1100
04/08/1992,3.1100
05/08/1992,3.1050
06/08/1992,3.1000
07/08/1992,3.1000
10/08/1992,3.1000
11/08/1992,3.0900
12/08/1992,3.0750
13/08/1992,3.0700
14/08/1992,3.0800
17/08/1992,3.0900
18/08/1992,3.0850
19/08/1992,3.0800
20/08/1992,3.0800
21/08/1992,3.0850
24/08/1992,3.0800
25/08/1992,3.0800
26/08/1992,3.0800
