age,m,f,total
Under 5 years,10185106,9734471,19919577
5 to 9 years,10431307,9998197,20429504
10 to 14 years,10525144,10102058,20627202
15 to 19 years,10812867,10338517,21151384
20 to 24 years,11497255,10886758,22384013
25 to 29 years,11663803,11267625,22931428
30 to 34 years,11000534,10840965,21841499
35 to 39 years,10401082,10418207,20819289
40 to 44 years,9795213,9937231,19732444
45 to 49 years,10385031,10582603,20967634
50 to 54 years,10736110,11115319,21851429
55 to 59 years,10686439,11300875,21987314
60 to 64 years,9316659,10174229,19490888
65 to 69 years,7940200,8889353,16829553
70 to 74 years,5456249,6360203,11816452
75 to 79 years,3727079,4647676,8374755
80 to 84 years,2455891,3413802,5869693
85 years and over,2227848,4154029,6381877
