"Total,39536653,19647553,19889100"
"Under 5 years,2471513,1264710,1206803"
"05 to 9 years,2514352,1284927,1229425"
"10 to 14 years,2542780,1296870,1245910"
"15 to 19 years,2562668,1308569,1254099"
"20 to 24 years,2767775,1429323,1338452"
"25 to 29 years,3130234,1617117,1513117"
"30 to 34 years,2893545,1487711,1405834"
"35 to 39 years,2713487,1375976,1337511"
"40 to 44 years,2509575,1253956,1255619"
"45 to 49 years,2607438,1300910,1306528"
"50 to 54 years,2555250,1270027,1285223"
"55 to 59 years,2528756,1239880,1288876"
"60 to 64 years,2233922,1071926,1161996"
"65 to 69 years,1825565,856686,968879"
"70 to 74 years,1370235,630225,740010"
"75 to 79 years,929630,413535,516095"
"80 to 84 years,647135,274889,372246"
"85 years and over,732793,270316,462477"
